                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.55618,                0.61196,                 1.1271,                 0.7675,                0.63879,                 0.7042,                0.56359,                 1.0489,                 1.3615,                 1.7052,                0.00033,                0.00033,                0.00033
                      1,                0.55656,                0.54757,                 1.1158,                0.72427,                0.66401,                0.70161,                0.53649,                 1.0481,                 1.2904,                 1.7525,             0.00065677,             0.00065677,             0.00065677
                      2,                0.61165,                0.67651,                 1.1592,                0.64756,                0.56086,                0.60773,                0.45752,                 1.0631,                 1.5832,                 1.7829,             0.00097693,             0.00097693,             0.00097693
                      3,                0.66307,                0.71725,                 1.2048,                0.64661,                0.67447,                0.68092,                0.52224,                  1.018,                  1.415,                 1.7945,              0.0009703,              0.0009703,              0.0009703
                      4,                0.69102,                0.73084,                 1.2251,                0.78055,                0.63255,                0.70247,                0.53752,                 1.1208,                 1.3389,                 1.8172,              0.0009703,              0.0009703,              0.0009703
                      5,                0.66577,                0.71855,                 1.2097,                0.75101,                0.57765,                0.64686,                0.49091,                 1.1025,                  1.489,                 1.7782,              0.0009604,              0.0009604,              0.0009604
                      6,                0.67795,                0.71761,                 1.2167,                0.75706,                0.58874,                0.66314,                0.51291,                 1.1164,                 1.4179,                 1.8316,              0.0009505,              0.0009505,              0.0009505
                      7,                0.60323,                0.64496,                 1.1671,                0.69181,                0.61975,                0.62588,                0.48627,                 1.1214,                 1.7495,                 1.8417,              0.0009406,              0.0009406,              0.0009406
                      8,                0.65426,                0.67287,                 1.2001,                0.67901,                0.59355,                0.67037,                0.50246,                 1.1256,                 1.4123,                 1.8212,              0.0009307,              0.0009307,              0.0009307
                      9,                0.64882,                 0.7088,                 1.2032,                0.65698,                0.66452,                0.69522,                0.53593,                  1.059,                 1.3514,                 1.7392,              0.0009208,              0.0009208,              0.0009208
                     10,                0.67862,                 0.7492,                 1.2137,                0.74209,                0.60485,                0.64675,                0.50181,                 1.0911,                 1.4885,                 1.8043,              0.0009109,              0.0009109,              0.0009109
                     11,                0.66477,                0.69992,                 1.2194,                0.73565,                0.66748,                0.67272,                0.51952,                 1.0466,                 1.4216,                 1.7867,               0.000901,               0.000901,               0.000901
                     12,                0.71121,                0.79694,                 1.2465,                0.70438,                 0.6399,                0.69314,                0.53538,                 1.0601,                 1.2966,                 1.7371,              0.0008911,              0.0008911,              0.0008911
                     13,                0.70199,                 0.7507,                 1.2297,                0.60343,                0.60317,                0.62287,                0.47585,                 1.0718,                 1.4077,                 1.7686,              0.0008812,              0.0008812,              0.0008812
                     14,                0.67141,                0.72847,                  1.225,                 0.7648,                0.60898,                0.66393,                 0.5115,                 1.0927,                 1.5556,                 1.7225,              0.0008713,              0.0008713,              0.0008713
                     15,                 0.7038,                0.77585,                 1.2325,                0.70154,                0.63451,                0.70525,                0.53087,                 1.0732,                  1.477,                 1.7456,              0.0008614,              0.0008614,              0.0008614
                     16,                0.64736,                0.71877,                 1.2024,                 0.7571,                0.61438,                0.69614,                0.55039,                 1.1025,                 1.3746,                 1.7715,              0.0008515,              0.0008515,              0.0008515
                     17,                0.65257,                0.71275,                 1.1883,                0.74599,                0.60215,                0.68084,                0.53151,                 1.1264,                 1.3138,                 1.8074,              0.0008416,              0.0008416,              0.0008416
                     18,                0.69063,                0.74527,                 1.2273,                0.69498,                0.63255,                0.63305,                0.49078,                 1.1141,                 1.5863,                 1.8227,              0.0008317,              0.0008317,              0.0008317
                     19,                0.65191,                0.71366,                 1.1927,                0.69097,                0.61779,                0.65555,                0.48899,                 1.1372,                 1.4214,                 1.8258,              0.0008218,              0.0008218,              0.0008218
                     20,                0.66005,                0.71378,                 1.1934,                0.74223,                 0.5866,                0.68898,                0.53228,                 1.1066,                 1.3906,                 1.7711,              0.0008119,              0.0008119,              0.0008119
                     21,                0.66142,                0.72135,                  1.203,                0.75101,                0.62107,                0.65919,                0.51132,                 1.0932,                 1.2857,                 1.7594,               0.000802,               0.000802,               0.000802
                     22,                0.64658,                0.70139,                 1.1985,                0.75481,                0.61317,                0.68715,                0.53756,                 1.0426,                 1.5826,                 1.7177,              0.0007921,              0.0007921,              0.0007921
                     23,                0.64693,                0.69627,                 1.1999,                0.70327,                0.69804,                0.71718,                0.55265,                 1.0534,                 1.2954,                 1.7314,              0.0007822,              0.0007822,              0.0007822
                     24,                0.63492,                0.67766,                 1.1821,                0.74513,                 0.6352,                0.70747,                0.56273,                 1.0359,                 1.3203,                 1.6543,              0.0007723,              0.0007723,              0.0007723
                     25,                0.64557,                0.70355,                 1.1901,                0.68563,                0.65425,                0.69409,                0.53788,                 1.0532,                 1.4165,                 1.7356,              0.0007624,              0.0007624,              0.0007624
                     26,                0.64864,                0.67853,                 1.1941,                0.71787,                 0.6235,                0.69408,                0.55311,                 1.0191,                 1.2515,                 1.7147,              0.0007525,              0.0007525,              0.0007525
                     27,                0.64217,                0.65113,                 1.1986,                0.70456,                0.69578,                0.73045,                 0.5691,                 1.0771,                 1.3364,                 1.7871,              0.0007426,              0.0007426,              0.0007426
                     28,                0.63905,                0.67234,                 1.1909,                0.70308,                0.66157,                0.70248,                0.56212,                 1.0242,                 1.2045,                  1.717,              0.0007327,              0.0007327,              0.0007327
                     29,                0.63133,                0.66333,                 1.1889,                0.64606,                0.60043,                0.63528,                0.50582,                 1.0905,                  1.591,                  1.778,              0.0007228,              0.0007228,              0.0007228
